<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
21/06/04,000000,11790.0600000,12040.0000000,11500.0000000,11941.0000000,133210
28/06/04,000000,11941.0500000,11941.0500000,11250.0000000,11600.0000000,158723
05/07/04,000000,11475.0100000,11798.0000000,11400.0100000,11605.0000000,89477
12/07/04,000000,11596.5000000,12800.0000000,11596.5000000,12620.0000000,139595
19/07/04,000000,12782.5000000,12856.7800000,11890.0000000,12100.0000000,113512
26/07/04,000000,12180.0000000,12380.0000000,10950.0000000,11099.9700000,83455
02/08/04,000000,11190.0000000,11289.0000000,10635.0000000,10810.0000000,71886
09/08/04,000000,10943.5000000,11360.0000000,10700.1100000,11195.0000000,47781
16/08/04,000000,11200.0000000,11290.0000000,10900.0000000,11036.9900000,49354
23/08/04,000000,11055.0000000,11470.0000000,10901.0300000,11399.9900000,53080
30/08/04,000000,11400.0000000,11840.0000000,11270.0000000,11785.0000000,82640
06/09/04,000000,11633.0000000,12249.0000000,11633.0000000,12111.0000000,71721
13/09/04,000000,12225.0000000,12555.0000000,11956.3000000,12495.0100000,84356
20/09/04,000000,12500.0000000,12650.0000000,12183.7500000,12245.0000000,60089
27/09/04,000000,12247.4900000,12497.0000000,11645.0100000,12450.0000000,83637
04/10/04,000000,12482.4300000,12758.9700000,12355.0000000,12729.9000000,94012
11/10/04,000000,12750.0000000,13180.0000000,12365.0000000,12550.0000000,131143
18/10/04,000000,12550.0000000,13150.0000000,12300.0000000,12765.0000000,118573
25/10/04,000000,12795.3700000,13687.9800000,12520.0000000,13580.0000000,126912
01/11/04,000000,13744.5000000,14140.0000000,12945.0000000,14072.0100000,144127
08/11/04,000000,14062.5000000,14443.9900000,13980.0000000,14189.0000000,79120
15/11/04,000000,14200.0000000,14660.0000000,13759.0000000,14200.0000000,141944
22/11/04,000000,14250.0000000,14355.0000000,13225.0000000,13590.0000000,78323
29/11/04,000000,13601.0000000,13980.5100000,13025.1100000,13270.0000000,66519
06/12/04,000000,13201.0000000,14078.0000000,11750.0000000,12100.0000000,122098
13/12/04,000000,12200.0000000,12917.9000000,12103.7400000,12339.0000000,65980
20/12/04,000000,12040.1000000,13739.0000000,12000.0000000,13690.0000000,88458
27/12/04,000000,13290.0000000,14097.0000000,13206.0000000,13910.0500000,38245
10/01/05,000000,14010.0000000,14200.0000000,13780.0000000,13846.0000000,37349
17/01/05,000000,13673.5000000,13970.0000000,13310.0000000,13500.0100000,56838
24/01/05,000000,13882.5100000,14355.8700000,13420.0000000,14300.0000000,89491
31/01/05,000000,13846.0000000,14879.9000000,13846.0000000,14790.0000000,124531
07/02/05,000000,14860.0000000,15340.0000000,14800.0000000,15236.9000000,97188
14/02/05,000000,15230.0000000,15698.1900000,15142.0000000,15550.0000000,81421
21/02/05,000000,15601.0000000,16300.0100000,15401.0000000,16300.0000000,61378
28/02/05,000000,16295.0000000,16650.0000000,15702.0200000,16560.0000000,87125
07/03/05,000000,16649.0000000,16651.0000000,15260.0000000,15900.0000000,106253
14/03/05,000000,15910.0000000,16165.0000000,15031.0000000,15872.1400000,126221
21/03/05,000000,15436.5000000,16530.0000000,15436.5000000,16410.0000000,140584
28/03/05,000000,16410.0000000,17050.0000000,15808.0000000,17048.9800000,84672
